Team,Venue,City,state,League,lat,lon
Buffalo Sabres,KeyBank Center,Buffalo,New York,NHL,42.8751,-78.8768
New York Knicks,Madison Square Garden,New York City,New York,NBA,40.7503,-73.9933
New York Rangers,Madison Square Garden,New York City,New York,NHL,40.7503,-73.9933
New York Islanders,UBS Arena,Elmont,New York,NHL,40.7118,-73.7260
New York Yankees,Yankee Stadium,New York City,New York,MLB,40.8292,-73.9264
Carolina Panthers,Bank of America Stadium,Charlotte,North Carolina,NFL,35.2258,-80.8528
Carolina Hurricanes,PNC Arena,Raleigh,North Carolina,NHL,35.8020,-78.7198
Charlotte Hornets,Spectrum Center,Charlotte,North Carolina,NBA,35.2252,-80.8393
Cleveland Browns,FirstEnergy Stadium,Cleveland,Ohio,NFL,41.5061,-81.6994
Cincinnati Reds,Great American Ball Park,Cincinnati,Ohio,MLB,39.0975,-84.5067
Columbus Blue Jackets,Nationwide Arena,Columbus,Ohio,NHL,39.9682,-83.0037
Cincinnati Bengals,Paycor Stadium,Cincinnati,Ohio,NFL,39.0954,-84.5160
Cleveland Guardians,Progressive Field,Cleveland,Ohio,MLB,41.4958,-81.6853
Cleveland Cavaliers,Rocket Mortgage FieldHouse,Cleveland,Ohio,NBA,41.4966,�-81.6884
Oklahoma City Thunder,Paycom Center,Oklahoma City,Oklahoma,NBA,35.4636,-97.5156
Portland Trail Blazers,Moda Center,Portland,Oregon,NBA,45.5316,-122.6672
Pittsburgh Steelers,Acrisure Stadium,Pittsburgh,Pennsylvania,NFL,40.4467,-80.0158
Philadelphia Phillies,Citizens Bank Park,Philadelphia,Pennsylvania,MLB,39.9058,-75.1664
Philadelphia Eagles,Lincoln Financial Field,Philadelphia,Pennsylvania,NFL,39.9008,-75.1675
Pittsburgh Pirates,PNC Park,Pittsburgh,Pennsylvania,MLB,40.4469,-80.0058
Pittsburgh Penguins,PPG Paints Arena,Pittsburgh,Pennsylvania,NHL,40.4394,-79.9899
Philadelphia Flyers,Wells Fargo Center,Philadelphia,Pennsylvania,NHL,�39.9013,-75.1726
Philadelphia 76ers,Wells Fargo Center,Philadelphia,Pennsylvania,NBA,�39.9013,-75.1726
Nashville Predators,Bridgestone Arena,Nashville,Tennessee,NHL,36.1592,-86.7791
Memphis Grizzlies,FedExForum,Memphis,Tennessee,NBA,35.1384,-90.0510
Tennessee Titans,Nissan Stadium,Nashville,Tennessee,NFL,36.1665,-86.7713
Dallas Mavericks,American Airlines Center,Dallas,Texas,NBA,32.7906,-96.8103
Dallas Stars,American Airlines Center,Dallas,Texas,NHL,32.7906,-96.8103
San Antonio Spurs,AT&T Center,San Antonio,Texas,NBA,29.4269,-98.4376
Dallas Cowboys,AT&T Stadium,Arlington,Texas,NFL,32.7478,-97.0928
Texas Rangers,Globe Life Field,Arlington,Texas,MLB,32.7514,-97.0828
Houston Astros,Minute Maid Park,Houston,Texas,MLB,29.7569,-95.3556
Houston Texans,NRG Stadium,Houston,Texas,NFL,29.6848,-95.4110
Houston Rockets,Toyota Center,Houston,Texas,NBA,29.7505,-95.3573
Utah Jazz,Vivint Arena,Salt Lake City,Utah,NBA,40.7684,-111.9016
Seattle Kraken,Climate Pledge Arena,Seattle,Washington,NHL,47.6220,-122.3540
Seattle Seahawks,Lumen Field,Seattle,Washington,NFL,47.5952,-122.3316
Seattle Mariners,T-Mobile Park,Seattle,Washington,MLB,47.5914,-122.3325
Milwaukee Brewers,American Family Field,Milwaukee,Wisconsin,MLB,43.0283,-87.9711
Milwaukee Bucks,Fiserv Forum,Milwaukee,Wisconsin,NBA,43.0452,-87.9179
Green Bay Packers,Lambeau Field,Green Bay,Wisconsin,NFL,44.5014,-88.0622
